SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,16074,241,241.01,"Sure, that's who it would be: the lawyer,",Today he finished robbing a drunken Indian
"Absalom, Absalom!",AA,16075,241,241.02,Today he finished robbing a drunken Indian,"trailing off not because thinking trailed off, but"
"Absalom, Absalom!",AA,16076,241,241.03,"trailing off not because thinking trailed off, but",(he would have known about the octoroon and
"Absalom, Absalom!",AA,16077,242,242.01,(he would have known about the octoroon and,"They stared - glared - at one another, their voices"
"Absalom, Absalom!",AA,16078,243,243.01,"They stared - glared - at one another, their voices",""" - the old Sabine, who couldn't to save her life"
"Absalom, Absalom!",AA,16079,243,243.02,""" - the old Sabine, who couldn't to save her life","home again where, among the Florentine mirrors and"
"Absalom, Absalom!",AA,16081,244,244.01,"home again where, among the Florentine mirrors and","And him - ""  (Neither of them said 'Bon')"
"Absalom, Absalom!",AA,16082,245,245.01,"And him - ""  (Neither of them said 'Bon')","""So he went away.  He went away to school"
"Absalom, Absalom!",AA,16083,246,246.01,"""So he went away.  He went away to school",Maybe the mother found out about the octoroon
"Absalom, Absalom!",AA,16084,246,246.02,Maybe the mother found out about the octoroon,"then to depart, kissing her maybe, her hand"
"Absalom, Absalom!",AA,16085,247,247.01,"then to depart, kissing her maybe, her hand",because she went to the lawyer.  And it was
"Absalom, Absalom!",AA,16086,247,247.02,because she went to the lawyer.  And it was,So maybe she wasn't out of the office good
"Absalom, Absalom!",AA,16087,248,248.01,So maybe she wasn't out of the office good,"""And he didn't care about that too; he just"
"Absalom, Absalom!",AA,16088,248,248.02,"""And he didn't care about that too; he just",and maybe he lounged into the lawyer's office and
"Absalom, Absalom!",AA,16089,248,248.03,and maybe he lounged into the lawyer's office and,"Where did you say?"" ""Oxford,"" Quentin said."
"Absalom, Absalom!",AA,16090,249,249.01,"Where did you say?"" ""Oxford,"" Quentin said.",""" - 'Oxford.'  And then the papers could be still"
"Absalom, Absalom!",AA,16091,249,249.02,""" - 'Oxford.'  And then the papers could be still","maybe not even goodbye to the octoroon, to"
"Absalom, Absalom!",AA,16092,249,249.03,"maybe not even goodbye to the octoroon, to",and one night he walked up the gangplank
"Absalom, Absalom!",AA,16093,250,250.01,and one night he walked up the gangplank,and one day Henry showed it to him
"Absalom, Absalom!",AA,16094,251,251.01,and one day Henry showed it to him,"The letter which he - ""  it was not Bon he meant"
"Absalom, Absalom!",AA,16095,251,251.02,"The letter which he - ""  it was not Bon he meant",My Dear Mr Sutpen: The undersigned name will
"Absalom, Absalom!",AA,16096,251,251.03,My Dear Mr Sutpen: The undersigned name will,"Not goodbye; all right, who had had so many fathers"
"Absalom, Absalom!",AA,16097,252,252.01,"Not goodbye; all right, who had had so many fathers","""And now,"" Shreve said, ""we're going to talk about love."""
"Absalom, Absalom!",AA,16098,253,253.01,"""And now,"" Shreve said, ""we're going to talk about love.""","""And now, love.  He must have known all about her"
"Absalom, Absalom!",AA,16099,253,253.02,"""And now, love.  He must have known all about her","then (Bon) agreeing at last, saying at last,"
"Absalom, Absalom!",AA,16100,255,255.01,"then (Bon) agreeing at last, saying at last,",So the Christmas came and he and Henry rode
"Absalom, Absalom!",AA,16101,255,255.02,So the Christmas came and he and Henry rode,And went into the house: and maybe somebody looking
"Absalom, Absalom!",AA,16102,256,256.01,And went into the house: and maybe somebody looking,"And he spent ten days there, not only the"
"Absalom, Absalom!",AA,16103,256,256.02,"And he spent ten days there, not only the",and which he did remain to her until he disappeared
"Absalom, Absalom!",AA,16104,256,256.03,and which he did remain to her until he disappeared,"(And the girl, the sister, the virgin - Jesus,"
"Absalom, Absalom!",AA,16105,256,256.04,"(And the girl, the sister, the virgin - Jesus,",And the day came to depart and no sign yet;
"Absalom, Absalom!",AA,16106,256,256.05,And the day came to depart and no sign yet;,"""Wait,"" Shreve cried, though Quentin had not spoken:"
"Absalom, Absalom!",AA,16107,257,257.01,"""Wait,"" Shreve cried, though Quentin had not spoken:","""Because he hadn't even looked at her.  Oh, he had"
